Při nehodě dopravního letadla v Tanzanii zahynulo nejméně 19 lidí;Dáresalám - Při dnešní nehodě dopravního letadla místních aerolinií v Tanzanii zemřelo nejméně 19 lidí. Podle médií to oznámil tanzanský premiér Kassim Majaliva. Počet obětí se...
Rusko tvrdí, že Ukrajinci ostřelovali přehradu u Kachovské vodní elektrárny;Kyjev/Moskva - Ukrajinské síly dnes ostřelovaly z raketometů HIMARS Kachovskou vodní elektrárnu na jihu Ukrajiny a zasáhly stavidlo přehrady, tvrdí ruské tiskové agentury. Odkazují na vyjádření...
NYT: Vedení Kyjeva se připravuje na scénář úplného blackoutu ve městě;Kyjev - Vedení Kyjeva připravuje scénář evakuace všech obyvatel města pro případ, že by v něm nastal úplný výpadek proudu. Napsal to deník The New York Times, který se odvolává na...
Slovenští autodopravci chtějí v noci zablokovat D2 na hranicích s ČR;Kúty-Brodské (Slovensko)/Lanžhot (Břeclavsko) - Slovenští autodopravci v noci z dneška na pondělí kvůli stávce zablokují dálnici D2 z České republiky na Slovensko. S odkazem na Unii...
Meteorologové: Oteplování planety i stoupání hladin oceánů zrychluje;Šarm aš-Šajch (Egypt) - Oteplování planety i stoupání hladin oceánů zrychluje, posledních osm let bylo nejteplejších v historii záznamů a odtávání ledovců už nic nezastaví. Ve své...
Rusko ostřelovalo v noci rezidenční oblast v Záporoží, tvrdí Ukrajina;Kyjev - Ruské síly v noci na dnešek ostřelovaly rezidenční čtvrť v Záporoží na jihu Ukrajiny, uvedl tajemník záporožské radnice Anatolij Kurtěv. Útok si podle něj vyžádal jeden...
Vítězství republikánů je nutné k záchraně amerického snu, řekl Trump;Latrobe (USA) - Vítězství republikánů ve volbách do amerického Kongresu je nutné, aby se zastavilo ničení země a zachránil americký sen. Řekl to na předvolebním mítinku v Pensylvánii...
Dívka z britského zařízení pro migranty hodila novinářům zoufalý vzkaz v lahvi;Londýn - Mladá dívka, která pobývá v zařízení pro migranty v anglickém Manstonu, hodila britským novinářům přes plot vzkaz v lahvi, kde popisuje zoufalé podmínky uvnitř tábora. Napsal...
Biden: Volby do Kongresu budou "rozhodující" pro demokracii USA;Filadelfie (USA) - Úterní volby do Kongresu budou "rozhodujícím" momentem pro budoucnost americké demokracie. Řekl to dnes americký prezident Joe Biden na velkém předvolebním mítinku...
Záporožská jaderná elektrárna byla opět připojena k vnější síti;Vídeň/Kyjev - Rusy okupovaná Záporožská jaderná elektrárna na jihu Ukrajiny byla opět připojena k vnější síti poté, co bylo vnější napájení v noci na čtvrtek přerušeno při ruském...
